jobid,fold,variant,epoch,batch,total_batches,loss,filename
err_12191775,1,classical,5,18,52,0.0195,err_12191775_1.err
err_12191775,1,classical,5,24,52,0.0195,err_12191775_1.err
err_12191775,1,classical,5,24,52,0.014,err_12191775_1.err
err_12191775,1,classical,5,24,52,0.0181,err_12191775_1.err
err_12191775,1,classical,5,24,52,0.0169,err_12191775_1.err
err_12191775,1,classical,5,24,52,0.0121,err_12191775_1.err
err_12191775,1,classical,5,24,52,0.0141,err_12191775_1.err
err_12191775,1,classical,5,24,52,0.0144,err_12191775_1.err
err_12191775,1,classical,5,30,52,0.0144,err_12191775_1.err
err_12191775,1,classical,5,30,52,0.0163,err_12191775_1.err
err_12191775,1,classical,5,30,52,0.0209,err_12191775_1.err
err_12191775,1,classical,5,30,52,0.0209,err_12191775_1.err
err_12191775,1,classical,5,30,52,0.0236,err_12191775_1.err
err_12191775,1,classical,5,30,52,0.0119,err_12191775_1.err
err_12191775,1,classical,5,30,52,0.0123,err_12191775_1.err
err_12191775,1,classical,5,36,52,0.0123,err_12191775_1.err
err_12191775,1,classical,5,36,52,0.0169,err_12191775_1.err
err_12191775,1,classical,5,36,52,0.0159,err_12191775_1.err
err_12191775,1,classical,5,36,52,0.0146,err_12191775_1.err
err_12191775,1,classical,5,36,52,0.0121,err_12191775_1.err
err_12191775,1,classical,5,36,52,0.0106,err_12191775_1.err
err_12191775,1,classical,5,36,52,0.0136,err_12191775_1.err
err_12191775,1,classical,5,42,52,0.0136,err_12191775_1.err
err_12191775,1,classical,5,42,52,0.0145,err_12191775_1.err
err_12191775,1,classical,5,42,52,0.0143,err_12191775_1.err
err_12191775,1,classical,5,42,52,0.00822,err_12191775_1.err
err_12191775,1,classical,5,42,52,0.0132,err_12191775_1.err
err_12191775,1,classical,5,42,52,0.00804,err_12191775_1.err
err_12191775,1,classical,5,42,52,0.0109,err_12191775_1.err
err_12191775,1,classical,5,48,52,0.0109,err_12191775_1.err
err_12191775,1,classical,5,48,52,0.0184,err_12191775_1.err
err_12191775,1,classical,5,48,52,0.013,err_12191775_1.err
err_12191775,1,classical,5,48,52,0.0131,err_12191775_1.err
err_12191775,1,classical,5,48,52,0.00848,err_12191775_1.err
err_12191775,1,classical,6,0,52,0.014,err_12191775_1.err
err_12191775,1,classical,6,0,52,0.015,err_12191775_1.err
err_12191775,1,classical,6,0,52,0.0174,err_12191775_1.err
err_12191775,1,classical,6,0,52,0.015,err_12191775_1.err
err_12191775,1,classical,6,0,52,0.0127,err_12191775_1.err
err_12191775,1,classical,6,0,52,0.02,err_12191775_1.err
err_12191775,1,classical,6,6,52,0.02,err_12191775_1.err
err_12191775,1,classical,6,6,52,0.0177,err_12191775_1.err
err_12191775,1,classical,6,6,52,0.0158,err_12191775_1.err
err_12191775,1,classical,6,6,52,0.0121,err_12191775_1.err
err_12191775,1,classical,6,6,52,0.0131,err_12191775_1.err
err_12191775,1,classical,6,6,52,0.013,err_12191775_1.err
err_12191775,1,classical,6,6,52,0.0166,err_12191775_1.err
err_12191775,1,classical,6,12,52,0.0166,err_12191775_1.err
err_12191775,1,classical,6,12,52,0.0109,err_12191775_1.err
err_12191775,1,classical,6,12,52,0.00863,err_12191775_1.err
err_12191775,1,classical,6,12,52,0.0217,err_12191775_1.err
err_12191775,1,classical,6,12,52,0.0195,err_12191775_1.err
err_12191775,1,classical,6,12,52,0.0106,err_12191775_1.err
err_12191775,1,classical,6,12,52,0.0105,err_12191775_1.err
err_12191775,1,classical,6,18,52,0.0105,err_12191775_1.err
err_12191775,1,classical,6,18,52,0.0087,err_12191775_1.err
err_12191775,1,classical,6,18,52,0.00743,err_12191775_1.err
err_12191775,1,classical,6,18,52,0.00804,err_12191775_1.err
err_12191775,1,classical,6,18,52,0.0168,err_12191775_1.err
err_12191775,1,classical,6,18,52,0.0237,err_12191775_1.err
err_12191775,1,classical,6,18,52,0.0365,err_12191775_1.err
err_12191775,1,classical,6,24,52,0.0365,err_12191775_1.err
err_12191775,1,classical,6,24,52,0.0288,err_12191775_1.err
err_12191775,1,classical,6,24,52,0.0327,err_12191775_1.err
err_12191775,1,classical,6,24,52,0.0271,err_12191775_1.err
err_12191775,1,classical,6,24,52,0.0143,err_12191775_1.err
err_12191775,1,classical,6,24,52,0.0125,err_12191775_1.err
err_12191775,1,classical,6,24,52,0.0145,err_12191775_1.err
err_12191775,1,classical,6,30,52,0.0145,err_12191775_1.err
err_12191775,1,classical,6,30,52,0.0148,err_12191775_1.err
err_12191775,1,classical,6,30,52,0.0282,err_12191775_1.err
err_12191775,1,classical,6,30,52,0.0295,err_12191775_1.err
err_12191775,1,classical,6,30,52,0.0294,err_12191775_1.err
err_12191775,1,classical,6,30,52,0.014,err_12191775_1.err
err_12191775,1,classical,6,30,52,0.0122,err_12191775_1.err
err_12191775,1,classical,6,36,52,0.0122,err_12191775_1.err
err_12191775,1,classical,6,36,52,0.0148,err_12191775_1.err
err_12191775,1,classical,6,36,52,0.016,err_12191775_1.err
err_12191775,1,classical,6,36,52,0.0174,err_12191775_1.err
err_12191775,1,classical,6,36,52,0.0144,err_12191775_1.err
err_12191775,1,classical,6,36,52,0.0131,err_12191775_1.err
err_12191775,1,classical,6,36,52,0.0112,err_12191775_1.err
err_12191775,1,classical,6,42,52,0.0112,err_12191775_1.err
err_12191775,1,classical,6,42,52,0.0161,err_12191775_1.err
err_12191775,1,classical,6,42,52,0.0112,err_12191775_1.err
err_12191775,1,classical,6,42,52,0.00799,err_12191775_1.err
err_12191775,1,classical,6,42,52,0.0124,err_12191775_1.err
err_12191775,1,classical,6,42,52,0.00719,err_12191775_1.err
err_12191775,1,classical,6,42,52,0.0135,err_12191775_1.err
err_12191775,1,classical,6,48,52,0.0135,err_12191775_1.err
err_12191775,1,classical,6,48,52,0.0263,err_12191775_1.err
err_12191775,1,classical,6,48,52,0.0292,err_12191775_1.err
err_12191775,1,classical,6,48,52,0.0241,err_12191775_1.err
err_12191775,1,classical,6,48,52,0.00966,err_12191775_1.err
err_12191775,1,classical,7,0,52,0.0235,err_12191775_1.err
err_12191775,1,classical,7,0,52,0.0211,err_12191775_1.err
err_12191775,1,classical,7,0,52,0.0165,err_12191775_1.err
err_12191775,1,classical,7,0,52,0.0164,err_12191775_1.err
err_12191775,1,classical,7,0,52,0.0142,err_12191775_1.err
err_12191775,1,classical,7,0,52,0.025,err_12191775_1.err
err_12191775,1,classical,7,6,52,0.025,err_12191775_1.err
err_12191775,1,classical,7,6,52,0.0232,err_12191775_1.err
err_12191775,1,classical,7,6,52,0.0229,err_12191775_1.err
err_12191775,1,classical,7,6,52,0.0179,err_12191775_1.err
err_12191775,1,classical,7,6,52,0.0116,err_12191775_1.err
err_12191775,1,classical,7,6,52,0.0096,err_12191775_1.err
err_12191775,1,classical,7,6,52,0.0131,err_12191775_1.err
err_12191775,1,classical,7,12,52,0.0131,err_12191775_1.err
err_12191775,1,classical,7,12,52,0.00796,err_12191775_1.err
err_12191775,1,classical,7,12,52,0.0082,err_12191775_1.err
err_12191775,1,classical,7,12,52,0.025,err_12191775_1.err
err_12191775,1,classical,7,12,52,0.0289,err_12191775_1.err
err_12191775,1,classical,7,12,52,0.0222,err_12191775_1.err
err_12191775,1,classical,7,12,52,0.0181,err_12191775_1.err
err_12191775,1,classical,7,18,52,0.0181,err_12191775_1.err
err_12191775,1,classical,7,18,52,0.0154,err_12191775_1.err
err_12191775,1,classical,7,18,52,0.00941,err_12191775_1.err
err_12191775,1,classical,7,18,52,0.00709,err_12191775_1.err
err_12191775,1,classical,7,18,52,0.00974,err_12191775_1.err
err_12191775,1,classical,7,18,52,0.0187,err_12191775_1.err
err_12191775,1,classical,7,18,52,0.0361,err_12191775_1.err
err_12191775,1,classical,7,24,52,0.0361,err_12191775_1.err
err_12191775,1,classical,7,24,52,0.0331,err_12191775_1.err
err_12191775,1,classical,7,24,52,0.0459,err_12191775_1.err
err_12191775,1,classical,7,24,52,0.0469,err_12191775_1.err
err_12191775,1,classical,7,24,52,0.042,err_12191775_1.err
err_12191775,1,classical,7,24,52,0.0395,err_12191775_1.err
err_12191775,1,classical,7,24,52,0.0264,err_12191775_1.err
err_12191775,1,classical,7,30,52,0.0264,err_12191775_1.err
err_12191775,1,classical,7,30,52,0.0249,err_12191775_1.err
err_12191775,1,classical,7,30,52,0.0117,err_12191775_1.err
err_12191775,1,classical,7,30,52,0.0158,err_12191775_1.err
err_12191775,1,classical,7,30,52,0.0305,err_12191775_1.err
err_12191775,1,classical,7,30,52,0.0128,err_12191775_1.err
err_12191775,1,classical,7,30,52,0.0156,err_12191775_1.err
err_12191775,1,classical,7,36,52,0.0156,err_12191775_1.err
err_12191775,1,classical,7,36,52,0.0191,err_12191775_1.err
err_12191775,1,classical,7,36,52,0.0159,err_12191775_1.err
err_12191775,1,classical,7,36,52,0.013,err_12191775_1.err
err_12191775,1,classical,7,36,52,0.0165,err_12191775_1.err
err_12191775,1,classical,7,36,52,0.0134,err_12191775_1.err
err_12191775,1,classical,7,36,52,0.0114,err_12191775_1.err
err_12191775,1,classical,7,42,52,0.0114,err_12191775_1.err
err_12191775,1,classical,7,42,52,0.021,err_12191775_1.err
err_12191775,1,classical,7,42,52,0.0161,err_12191775_1.err
