,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,Week,Month,nat,Year,euro per kWh,euro per m3,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,WeekKey,Beroepsbevolking|Seizoengecorrigeerd,"Crude oil, Brent | ($/bbl)",Werkzame beroepsbevolking|Seizoengecorrigeerd,Werkloze beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI | %,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product
nat,0.4064305642023429,0.006066612313752307,-0.019748404963969585,0.03155960062765595,-0.15038986505887397,-0.060833580119451204,0.027542475681383485,-0.1910007380925133,0.5115619528052665,0.46796262992591625,1.0,-0.5160850662075205,0.36985831610692327,0.30597715732529857,-0.3871306207677945,-0.4045149429600946,0.25139462360793324,-0.3880459445548863,-0.04376229617099341,0.35448939938765667,-0.12078399006596764,-0.10435907294032372,0.10863632043620446,-0.13458542100765433,-0.08109256448687306,-0.22168031647162179,0.038002745338253555,-0.10566821805276204,-0.0826785024118518,-0.11985022033553679,-0.06576977863147832,,
Year,-0.3412958545850187,-0.07701797874418315,-0.03932575848315963,-0.09090643527428978,0.2114712815955667,0.11815875656914174,-0.09086094741775423,0.26622658032069857,-0.6569004734084154,-0.6534570536435521,-0.5160850662075205,1.0,-0.08201802949087371,0.04331018413110718,0.7606291097743163,0.93778284464459,0.27127595539430693,0.8164716247181637,0.5872526466331391,-0.8129051317073888,0.6943754014386071,0.6641032616786213,-0.26378877038267706,-0.24967088792113074,-0.3155549615750572,0.7331059362716797,0.002485938102846271,0.6388043651893891,0.6103096748239843,0.6726936138210734,0.6387318436509163,,
euro per kWh,0.3206120580894155,0.050513592614186996,0.09742709870215738,-0.0006773128573893086,0.4982142396436342,0.532907632458961,0.027564680964387713,0.4538427000034504,0.654614148224936,0.6917052687211748,0.36985831610692327,-0.08201802949087371,1.0,0.9921434649729547,-0.014921597424435032,0.1997366055505423,0.8056690930013262,0.330831463057557,0.6618273656752902,-0.3745048102110823,0.5925763689632645,0.6292381561645827,-0.32851126513674733,0.027114212455486682,-0.6230973972362349,0.4419754959236251,-0.24899920924022287,0.5842711939613101,0.6056736440647714,0.28033762374624227,0.38679195335735056,,
euro per m3,0.278551770929867,0.040968864753950604,0.09272823381480264,-0.01209029143549163,0.5259750286927243,0.5490396814302334,0.016226295904198967,0.48836860218844597,0.5737512089076685,0.6113650428217334,0.30597715732529857,0.04331018413110718,0.9921434649729547,1.0,0.08052245626210813,0.31794202032076396,0.841686955012206,0.434128637869474,0.7371583952138999,-0.47746081064205576,0.6811854251182344,0.7141366230746982,-0.3624254642178095,-0.004160406712415825,-0.6642282251540085,0.5350790063250335,-0.24929447414522798,0.6658842579677929,0.6837620207382231,0.36546343835223344,0.467914253018417,,
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,-0.2646882684688272,-0.028458867174959736,0.020342655192698074,0.012580507692781167,0.3906161462571584,0.3228239268040664,-0.05313286430400259,0.40696603044502216,-0.5475046599827718,-0.5659589537430447,-0.3871306207677945,0.7606291097743163,-0.014921597424435032,0.08052245626210813,1.0,0.691270368738068,0.16187049724224553,0.5052559444770327,0.3886489503979096,-0.5623934127794411,0.5596182935563481,0.5823217452590678,-0.12529322531103607,-0.18478207281615355,-0.20713731622908124,0.6092106463326779,0.12300229044467091,0.4670683580131012,0.44600094082277014,0.41889788872619355,0.4127100525492226,,
WeekKey,-0.23152879271521637,-0.0629542829717927,-0.01204129645802064,-0.08846078621904528,0.38486771379183443,0.2946212147552017,-0.08591575143806009,0.425150932603117,-0.3542322509620668,-0.3711857331007534,-0.4045149429600946,0.93778284464459,0.1997366055505423,0.31794202032076396,0.691270368738068,1.0,0.5207682554486194,0.9331677719738994,0.7976383086644778,-0.9387078485486371,0.8741654072378954,0.8499182618313152,-0.4049681880035982,-0.21763664744901826,-0.5384395104768619,0.816024025043405,-0.13603941369959074,0.8248177177877564,0.8044452242875885,0.7794996559361597,0.7830858297136792,,
Beroepsbevolking|Seizoengecorrigeerd,0.19758170176737475,-0.017173259963910746,0.03071166387291079,-0.04807436822170186,0.4935296531851233,0.4893843425173078,-0.005846331144119154,0.4787657820064293,0.40020960026531716,0.43641843089138777,0.25139462360793324,0.27127595539430693,0.8056690930013262,0.841686955012206,0.16187049724224553,0.5207682554486194,1.0,0.630607850908664,0.9113757637975491,-0.6330433961739372,0.8136973462082286,0.8283741235239915,-0.4787756313606925,-0.12081055899446551,-0.6789258428752828,0.6497664612003323,-0.31434735852425144,0.8103399429153303,0.8224039535859232,0.6626088300968802,0.7504750927411961,,
"Crude oil, Brent | ($/bbl)",-0.17789573988918994,-0.03600218135592589,0.011460390464664407,-0.09437403325523173,0.4631993403209864,0.36914259486011164,-0.0740171025487842,0.5000189438080351,-0.17263357735002974,-0.12847607740752487,-0.3880459445548863,0.8164716247181637,0.330831463057557,0.434128637869474,0.5052559444770327,0.9331677719738994,0.630607850908664,1.0,0.8823752077558342,-0.977097363573481,0.8938488858996094,0.8669483075778712,-0.5210084900300759,-0.09612126349100575,-0.6432250017671983,0.7951164363116863,-0.2889485836393034,0.8762271759962812,0.8623007229831128,0.7651921944947397,0.7926738437048964,,
Werkzame beroepsbevolking|Seizoengecorrigeerd,0.025873451933162143,-0.02881551546877315,0.026939572848472954,-0.07580838722654977,0.5480650385007976,0.49750238143891046,-0.03470355241832545,0.555336500032997,0.15041508112952867,0.19102827001115344,-0.04376229617099341,0.5872526466331391,0.6618273656752902,0.7371583952138999,0.3886489503979096,0.7976383086644778,0.9113757637975491,0.8823752077558342,1.0,-0.8955086446443064,0.9593854831167005,0.9566409733866619,-0.5383710048433915,-0.14598615006684437,-0.7582608401820272,0.7842977156344084,-0.31918791423769133,0.9349962076983964,0.9348416823267459,0.7810107901835595,0.8432774761949317,,
Werkloze beroepsbevolking|Seizoengecorrigeerd,0.16442532563992815,0.03406033461102179,-0.019549639172793665,0.08880824243214015,-0.4987516306477436,-0.4085629383622263,0.058450683251160075,-0.5279652787731847,0.15099808833222605,0.11425026466383179,0.35448939938765667,-0.8129051317073888,-0.3745048102110823,-0.47746081064205576,-0.5623934127794411,-0.9387078485486371,-0.6330433961739372,-0.977097363573481,-0.8955086446443064,1.0,-0.9270395819268054,-0.9062821337794525,0.49400062407073864,0.14687018693985676,0.6933962601141667,-0.7734804833968039,0.2587185414590164,-0.8847640061456029,-0.8714463763800866,-0.7552925821579115,-0.7778558637202998,,
