,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,Week,Month,"Crude oil, WTI | ($/bbl)","Crude oil, average | ($/bbl)","Crude oil, Dubai | ($/bbl)","Crude oil, Brent | ($/bbl)",Werkloze beroepsbevolking|Seizoengecorrigeerd,"Coal, South African ** | ($/mt)","Coal, Australian | ($/mt)",euro per kWh.1,Beroepsbevolking|Seizoengecorrigeerd,Werkzame beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI | %,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product
Aantal verkochte woningen|Aantal verkochte woningen,0.01520771981285222,-0.02006890989419673,-0.03229847863243512,-0.017390508642104275,-0.3331404295840121,-0.23319422867059972,0.05041976843756553,-0.372064648828693,-0.22332836160214609,-0.2795008694088665,-0.3907916721264234,-0.4186518275508709,-0.4302293612027091,-0.4288405808623711,0.1865322751983208,-0.05970381523380972,-0.1205347190251219,-0.11393006389529746,-0.38212039600471837,-0.44414826544502006,-0.24126151916331132,0.43670202936016966,0.15628360420536608,1.0,-0.2820132101403276,-0.4131465534944657,-0.04219375612822292,0.9898873214114079,-0.22095335196543,-0.19955331549447136,,,,
Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,0.029995103114379907,0.015157685261407039,-0.03806206565438148,-0.00253852397807141,-0.0991493535537153,-0.11872247381148156,-0.0039038707658107545,-0.06933351077095541,0.3583014594436644,0.3989129205956291,-0.10502896327403526,-0.08165969689492356,-0.061982733153504214,-0.07758573510165585,0.05533544549284339,-0.32900913410242344,-0.33559030261331585,-0.45189496792973693,-0.11572051829869683,-0.13661101662016545,-0.3832535058915326,-0.392937946353349,0.18907959566123733,-0.2820132101403276,1.0,-0.06739147749331688,-0.4205383171204193,-0.3095060403168131,-0.25129537047822514,-0.25209569542583515,,,,
Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,0.14318052233941636,0.09337466381849034,0.10367228664081381,0.0721545944132316,0.5060602622825179,0.49859820890005707,0.03608545993521702,0.46814782789932974,0.473576308432828,0.4996883294801508,-0.05579734815164559,-0.03998476587163135,-0.03113307334120212,-0.03314595033328248,0.36578689517699026,0.11416668115968574,0.1475053818397003,0.1573094556927462,0.6524499853363934,0.5921317633430656,0.4239676614765214,-0.5254654650361265,-0.580297634567071,-0.4131465534944657,-0.06739147749331688,1.0,0.264801242717347,-0.36542892575899927,0.5126499875982155,0.47385935837971327,,,,
Gemiddelde verkoopprijs,-0.2770100627110846,-0.13157401608544853,-0.1035464825527022,-0.18443333463913486,0.6418784578624905,0.5005507638259857,-0.05500877704049137,0.6718372786194725,-0.34250043666261015,-0.3500508598444151,0.46811890071756046,0.5322476586401875,0.5758597663009939,0.5445315843625828,0.04089100856964532,0.7602744597894592,0.7757334095600721,0.8093212806624178,0.5370642364425471,0.5532810019674907,0.9007612338537598,-0.035438468167225776,-0.3820233097831079,-0.04219375612822292,-0.4205383171204193,0.264801242717347,1.0,0.09415829513302135,0.6428247888192483,0.7859274347686186,,,,
Totale waarde verkoopprijzen,-0.019571794574794625,-0.039482885554057,-0.04961724631696353,-0.045627936470805756,-0.23451076867105303,-0.1556903686232166,0.04246013895786147,-0.2687236088768431,-0.24994638404755157,-0.30591221157383214,-0.3342847256608585,-0.35130768176791477,-0.35480093422208014,-0.35983913889377467,0.20838604084990986,0.0342725611312606,-0.02459699942407124,-0.016819003236784917,-0.3033088465826984,-0.36697148332018664,-0.12018832093477011,0.4153913619966871,0.10099412903694258,0.9898873214114079,-0.3095060403168131,-0.36542892575899927,0.09415829513302135,1.0,-0.1279133384683934,-0.08809293980653558,,,,
CPI | 2015 = 100,0.06214966139993441,-0.03843800511405975,-0.026124806612104128,-0.05788165292052571,0.4605552180676355,0.3848111708475962,0.025673781748195394,0.48427336491735273,0.22996469273705736,0.24050178178322734,0.060031839401018146,0.13228108883932232,0.17348398656732789,0.15913563448458454,0.3880721325077118,0.6097833219071322,0.626658768979903,0.6199902525094647,0.9101772171345078,0.8561374184096524,0.7272843045320435,-0.5910234214357473,-0.8712310409259529,-0.22095335196543,-0.25129537047822514,0.5126499875982155,0.6428247888192483,-0.1279133384683934,1.0,0.9522982870462774,,,,
CPI afgeleid | 2015 = 100,-0.05430890020496144,-0.0728544899318466,-0.06236334516526213,-0.10835849668909782,0.5330407585083071,0.43041000442455557,0.007384290227829506,0.5599163808949232,0.08784108353710132,0.09614778357294534,0.22067406215054586,0.2942478332043467,0.33183132613475075,0.32391280927512067,0.26714728248574027,0.7317454052337496,0.7484346296420462,0.7448807826046108,0.9174046030870859,0.8946317764818739,0.8377184252990245,-0.5051095922921742,-0.8189303812635049,-0.19955331549447136,-0.25209569542583515,0.47385935837971327,0.7859274347686186,-0.08809293980653558,0.9522982870462774,1.0,,,,
Jaarmutatie CPI | %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaarmutatie CPI afgeleid | %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
