Date,nat,Year,Month,Day,Hour,Minute
1982-06-30,-0.4690255908253872,1982,6,30,0,0
1982-07-01,-0.4690255908253872,1982,7,1,0,0
1982-07-02,-0.4690255908253872,1982,7,2,0,0
1982-07-03,-0.4690255908253872,1982,7,3,0,0
1982-07-04,-0.4690255908253872,1982,7,4,0,0
1982-07-05,-0.49171327939196346,1982,7,5,0,0
1982-07-06,-0.49171327939196346,1982,7,6,0,0
1982-07-07,-0.49171327939196346,1982,7,7,0,0
1982-07-08,-0.49171327939196346,1982,7,8,0,0
1982-07-09,-0.49171327939196346,1982,7,9,0,0
1982-07-10,-0.49171327939196346,1982,7,10,0,0
1982-07-11,-0.49171327939196346,1982,7,11,0,0
1982-07-12,-0.589129636838669,1982,7,12,0,0
1982-07-13,-0.589129636838669,1982,7,13,0,0
1982-07-14,-0.589129636838669,1982,7,14,0,0
1982-07-15,-0.589129636838669,1982,7,15,0,0
1982-07-16,-0.589129636838669,1982,7,16,0,0
1982-07-17,-0.589129636838669,1982,7,17,0,0
1982-07-18,-0.589129636838669,1982,7,18,0,0
1982-07-19,-0.35169915555050346,1982,7,19,0,0
1982-07-20,-0.35169915555050346,1982,7,20,0,0
1982-07-21,-0.35169915555050346,1982,7,21,0,0
1982-07-22,-0.35169915555050346,1982,7,22,0,0
1982-07-23,-0.35169915555050346,1982,7,23,0,0
1982-07-24,-0.35169915555050346,1982,7,24,0,0
1982-07-25,-0.35169915555050346,1982,7,25,0,0
1982-07-26,-0.5667351022564463,1982,7,26,0,0
1982-07-27,-0.5667351022564463,1982,7,27,0,0
1982-07-28,-0.5667351022564463,1982,7,28,0,0
1982-07-29,-0.5667351022564463,1982,7,29,0,0
1982-07-30,-0.5667351022564463,1982,7,30,0,0
1982-07-31,-0.5667351022564463,1982,7,31,0,0
1982-08-01,-0.5667351022564463,1982,8,1,0,0
1982-08-02,-0.6028810936277386,1982,8,2,0,0
1982-08-03,-0.6028810936277386,1982,8,3,0,0
1982-08-04,-0.6028810936277386,1982,8,4,0,0
1982-08-05,-0.6028810936277386,1982,8,5,0,0
1982-08-06,-0.6028810936277386,1982,8,6,0,0
1982-08-07,-0.6028810936277386,1982,8,7,0,0
1982-08-08,-0.6028810936277386,1982,8,8,0,0
1982-08-09,-0.4797582180999297,1982,8,9,0,0
1982-08-10,-0.4797582180999297,1982,8,10,0,0
1982-08-11,-0.4797582180999297,1982,8,11,0,0
1982-08-12,-0.4797582180999297,1982,8,12,0,0
1982-08-13,-0.4797582180999297,1982,8,13,0,0
1982-08-14,-0.4797582180999297,1982,8,14,0,0
1982-08-15,-0.4797582180999297,1982,8,15,0,0
1982-08-16,-0.5582319711164365,1982,8,16,0,0
1982-08-17,-0.5582319711164365,1982,8,17,0,0
1982-08-18,-0.5582319711164365,1982,8,18,0,0
1982-08-19,-0.5582319711164365,1982,8,19,0,0
1982-08-20,-0.5582319711164365,1982,8,20,0,0
1982-08-21,-0.5582319711164365,1982,8,21,0,0
1982-08-22,-0.5582319711164365,1982,8,22,0,0
1982-08-23,-0.6226555122339573,1982,8,23,0,0
1982-08-24,-0.6226555122339573,1982,8,24,0,0
1982-08-25,-0.6226555122339573,1982,8,25,0,0
1982-08-26,-0.6226555122339573,1982,8,26,0,0
1982-08-27,-0.6226555122339573,1982,8,27,0,0
1982-08-28,-0.6226555122339573,1982,8,28,0,0
1982-08-29,-0.6226555122339573,1982,8,29,0,0
1982-08-30,-0.7012312935107508,1982,8,30,0,0
1982-08-31,-0.7012312935107508,1982,8,31,0,0
1982-09-01,-0.7012312935107508,1982,9,1,0,0
1982-09-02,-0.7012312935107508,1982,9,2,0,0
1982-09-03,-0.7012312935107508,1982,9,3,0,0
1982-09-04,-0.7012312935107508,1982,9,4,0,0
1982-09-05,-0.7012312935107508,1982,9,5,0,0
1982-09-06,-0.625281378645899,1982,9,6,0,0
1982-09-07,-0.625281378645899,1982,9,7,0,0
1982-09-08,-0.625281378645899,1982,9,8,0,0
1982-09-09,-0.625281378645899,1982,9,9,0,0
1982-09-10,-0.625281378645899,1982,9,10,0,0
1982-09-11,-0.625281378645899,1982,9,11,0,0
1982-09-12,-0.625281378645899,1982,9,12,0,0
1982-09-13,-0.824740936894295,1982,9,13,0,0
1982-09-14,-0.824740936894295,1982,9,14,0,0
1982-09-15,-0.824740936894295,1982,9,15,0,0
1982-09-16,-0.824740936894295,1982,9,16,0,0
