Date,euro per m3,euro per m3.1,euro per m3.2,euro per kWh,euro per kWh.1,euro per kWh.2,Year,Month,Day,Hour,Minute
2022-06-01,1.045,0.886,0.799,0.049,0.172,0.153,2022,6,1,0,0
2022-07-01,1.778,1.014,1.104,0.144,0.18,0.177,2022,7,1,0,0
2022-08-01,1.778,1.014,1.104,0.144,0.18,0.177,2022,8,1,0,0
2022-09-01,1.778,1.014,1.104,0.144,0.18,0.177,2022,9,1,0,0
2022-10-01,1.778,1.014,1.104,0.144,0.18,0.177,2022,10,1,0,0
2022-11-01,1.778,1.014,1.104,0.144,0.18,0.177,2022,11,1,0,0
2022-12-01,1.778,1.014,1.104,0.144,0.18,0.177,2022,12,1,0,0
2023-01-01,1.582,1.334,0.695,0.306,0.24,0.221,2023,1,1,0,0
2023-02-01,1.582,1.334,0.695,0.306,0.24,0.221,2023,2,1,0,0
2023-03-01,1.582,1.334,0.695,0.306,0.24,0.221,2023,3,1,0,0
2023-04-01,1.582,1.334,0.695,0.306,0.24,0.221,2023,4,1,0,0
2023-05-01,1.582,1.334,0.695,0.306,0.24,0.221,2023,5,1,0,0
2023-06-01,1.582,1.334,0.695,0.306,0.24,0.221,2023,6,1,0,0
2023-07-01,1.273,1.219,0.476,0.22,0.207,0.196,2023,7,1,0,0
2023-08-01,1.273,1.219,0.476,0.22,0.207,0.196,2023,8,1,0,0
2023-09-01,1.273,1.219,0.476,0.22,0.207,0.196,2023,9,1,0,0
2023-10-01,1.273,1.219,0.476,0.22,0.207,0.196,2023,10,1,0,0
2023-11-01,1.273,1.219,0.476,0.22,0.207,0.196,2023,11,1,0,0
2023-12-01,1.273,1.219,0.476,0.22,0.207,0.196,2023,12,1,0,0
2024-01-01,1.312,1.213,0.459,0.223,0.199,0.144,2024,1,1,0,0
2024-02-01,1.312,1.213,0.459,0.223,0.199,0.144,2024,2,1,0,0
2024-03-01,1.312,1.213,0.459,0.223,0.199,0.144,2024,3,1,0,0
2024-04-01,1.312,1.213,0.459,0.223,0.199,0.144,2024,4,1,0,0
2024-05-01,1.312,1.213,0.459,0.223,0.199,0.144,2024,5,1,0,0
2024-06-01,1.312,1.213,0.459,0.223,0.199,0.144,2024,6,1,0,0
