"Consumentenprijzen; prijsindex 2015=100"
"Bestedingscategorieën: 000000 Alle bestedingen"
"";"Onderwerp"
"";"CPI";"CPI afgeleid";"Jaarmutatie CPI";"Jaarmutatie CPI afgeleid"
"Perioden";"2015 = 100";"2015 = 100";"%";"%"
"2013 maart";"98,58";"99,13";"2,9";"1,5"
"2013 april";"98,67";"99,18";"2,6";"1,1"
"2013 mei";"98,69";"99,21";"2,8";"1,3"
"2013 juni";"98,32";"98,84";"2,9";"1,4"
"2013 juli";"99,15";"99,68";"3,1";"1,7"
"2013 augustus";"99,03";"99,55";"2,8";"1,4"
"2013 september";"99,08";"99,61";"2,4";"1,1"
"2013 oktober";"98,80";"99,32";"1,6";"0,9"
"2013 november";"98,31";"98,84";"1,5";"0,8"
"2013 december";"98,36";"98,89";"1,7";"1,0"
"2013";"98,44";"98,97";"2,5";"1,3"
"2014 januari";"98,15";"98,32";"1,4";"1,0"
"2014 februari";"98,57";"98,74";"1,1";"0,7"
"2014 maart";"99,39";"99,57";"0,8";"0,4"
"2014 april";"99,85";"100,03";"1,2";"0,9"
"2014 mei";"99,51";"99,68";"0,8";"0,5"
"2014 juni";"99,24";"99,44";"0,9";"0,6"
"2014 juli";"100,05";"100,26";"0,9";"0,6"
"2014 augustus";"99,98";"100,20";"1,0";"0,7"
"2014 september";"99,96";"100,18";"0,9";"0,6"
"2014 oktober";"99,84";"100,06";"1,1";"0,7"
"2014 november";"99,25";"99,47";"1,0";"0,6"
"2014 december";"99,05";"99,27";"0,7";"0,4"
"2014";"99,40";"99,60";"1,0";"0,6"
"2015 januari";"98,15";"98,16";"0,0";"-0,2"
"2015 februari";"98,69";"98,70";"0,1";"0,0"
"2015 maart";"99,75";"99,75";"0,4";"0,2"
"2015 april";"100,39";"100,39";"0,5";"0,4"
"2015 mei";"100,61";"100,62";"1,1";"0,9"
"2015 juni";"100,23";"100,23";"1,0";"0,8"
"2015 juli";"101,00";"101,00";"0,9";"0,7"
"2015 augustus";"100,69";"100,68";"0,7";"0,5"
"2015 september";"100,50";"100,50";"0,5";"0,3"
"2015 oktober";"100,41";"100,40";"0,6";"0,3"
"2015 november";"99,85";"99,84";"0,6";"0,4"
"2015 december";"99,73";"99,72";"0,7";"0,5"
"2015";"100,00";"100,00";"0,6";"0,4"
"2016 januari";"98,71";"98,67";"0,6";"0,5"
"2016 februari";"99,30";"99,25";"0,6";"0,6"
"2016 maart";"100,31";"100,26";"0,6";"0,5"
"2016 april";"100,40";"100,32";"0,0";"-0,1"
"2016 mei";"100,58";"100,50";"0,0";"-0,1"
"2016 juni";"100,26";"100,19";"0,0";"0,0"
"2016 juli";"100,76";"100,68";"-0,2";"-0,3"
"2016 augustus";"100,88";"100,80";"0,2";"0,1"
"2016 september";"100,57";"100,49";"0,1";"0,0"
"2016 oktober";"100,83";"100,76";"0,4";"0,4"
"2016 november";"100,49";"100,43";"0,6";"0,6"
"2016 december";"100,71";"100,65";"1,0";"0,9"
"2016";"100,32";"100,25";"0,3";"0,3"
"2017 januari";"100,35";"100,24";"1,7";"1,6"
"2017 februari";"101,09";"100,98";"1,8";"1,7"
"2017 maart";"101,44";"101,34";"1,1";"1,1"
"2017 april";"101,98";"101,88";"1,6";"1,6"
"2017 mei";"101,65";"101,54";"1,1";"1,0"
"2017 juni";"101,37";"101,31";"1,1";"1,1"
"2017 juli";"102,11";"102,05";"1,3";"1,4"
"2017 augustus";"102,27";"102,21";"1,4";"1,4"
"2017 september";"102,03";"101,97";"1,5";"1,5"
"2017 oktober";"102,17";"102,11";"1,3";"1,3"
"2017 november";"102,00";"101,94";"1,5";"1,5"
"2017 december";"101,97";"101,90";"1,3";"1,2"
"2017";"101,70";"101,62";"1,4";"1,4"
"2018 januari";"101,82";"101,51";"1,5";"1,3"
"2018 februari";"102,31";"102,01";"1,2";"1,0"
"2018 maart";"102,47";"102,15";"1,0";"0,8"
"2018 april";"103,11";"102,71";"1,1";"0,8"
"2018 mei";"103,42";"102,99";"1,7";"1,4"
"2018 juni";"103,10";"102,65";"1,7";"1,3"
"2018 juli";"104,28";"103,82";"2,1";"1,7"
"2018 augustus";"104,40";"103,91";"2,1";"1,7"
"2018 september";"103,95";"103,47";"1,9";"1,5"
"2018 oktober";"104,32";"103,83";"2,1";"1,7"
"2018 november";"104,07";"103,57";"2,0";"1,6"
"2018 december";"103,97";"103,47";"2,0";"1,5"
"2018";"103,44";"103,01";"1,7";"1,4"
"2019 januari";"104,05";"102,56";"2,2";"1,0"
"2019 februari";"104,97";"103,47";"2,6";"1,4"
"2019 maart";"105,37";"103,86";"2,8";"1,7"
"2019 april";"106,08";"104,55";"2,9";"1,8"
"2019 mei";"105,94";"104,42";"2,4";"1,4"
"2019 juni";"105,84";"104,32";"2,7";"1,6"
"2019 juli";"106,90";"105,37";"2,5";"1,5"
"2019 augustus";"107,37";"105,83";"2,8";"1,8"
"2019 september";"106,70";"105,17";"2,6";"1,6"
"2019 oktober";"107,16";"105,63";"2,7";"1,7"
"2019 november";"106,73";"105,21";"2,6";"1,6"
"2019 december";"106,80";"105,28";"2,7";"1,7"
"2019";"106,16";"104,64";"2,6";"1,6"
"2020 januari";"105,97";"104,58";"1,8";"2,0"
"2020 februari";"106,64";"105,24";"1,6";"1,7"
"2020 maart";"106,85";"105,44";"1,4";"1,5"
"2020 april";"107,34";"105,91";"1,2";"1,3"
"2020 mei";"107,18";"105,62";"1,2";"1,1"
"2020 juni";"107,51";"105,83";"1,6";"1,4"
"2020 juli";"108,69";"107,01";"1,7";"1,6"
"2020 augustus";"108,13";"106,46";"0,7";"0,6"
"2020 september";"107,88";"106,21";"1,1";"1,0"
"2020 oktober";"108,47";"106,81";"1,2";"1,1"
"2020 november";"107,61";"105,96";"0,8";"0,7"
"2020 december";"107,85";"106,19";"1,0";"0,9"
"2020";"107,51";"105,94";"1,3";"1,2"
"2021 januari";"107,62";"105,85";"1,6";"1,2"
"2021 februari";"108,57";"106,77";"1,8";"1,5"
"2021 maart";"108,87";"107,05";"1,9";"1,5"
"2021 april";"109,36";"107,53";"1,9";"1,5"
"2021 mei";"109,46";"107,63";"2,1";"1,9"
"2021 juni";"109,67";"107,84";"2,0";"1,9"
"2021 juli";"110,23";"108,39";"1,4";"1,3"
"2021 augustus";"110,71";"108,87";"2,4";"2,3"
"2021 september";"110,79";"108,94";"2,7";"2,6"
"2021 oktober";"112,18";"110,31";"3,4";"3,3"
"2021 november";"113,17";"111,29";"5,2";"5,0"
"2021 december";"114,01";"112,12";"5,7";"5,6"
"2021";"110,39";"108,55";"2,7";"2,5"
"2022 januari";"114,53";"113,64";"6,4";"7,4"
"2022 februari";"115,27";"114,37";"6,2";"7,1"
"2022 maart";"119,46";"118,49";"9,7";"10,7"
"2022 april";"119,81";"119,21";"9,6";"10,9"
"2022 mei";"119,05";"118,46";"8,8";"10,1"
"2022 juni";"119,05";"118,47";"8,6";"9,9"
"2022 juli";"121,57";"121,88";"10,3";"12,4"
"2022 augustus";"123,95";"124,45";"12,0";"14,3"
"2022 september";"126,89";"127,63";"14,5";"17,2"
"2022 oktober";"128,25";"128,98";"14,3";"16,9"
"2022 november";"124,35";"124,77";"9,9";"12,1"
"2022 december";"124,94";"125,34";"9,6";"11,8"
"2022";"121,43";"121,31";"10,0";"11,8"
"2023 januari";"123,21";"122,28";"7,6";"7,6"
"2023 februari";"124,45";"123,53";"8,0";"8,0"
"2023 maart";"124,72";"123,82";"4,4";"4,5"
"2023 april";"126,01";"125,12";"5,2";"5,0"
"2023 mei";"126,26";"125,37";"6,1";"5,8"
"2023 juni";"125,83";"124,88";"5,7";"5,4"
"2023 juli";"127,13";"125,85";"4,6";"3,3"
"2023 augustus";"127,70";"126,38";"3,0";"1,6"
