,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,euro per m3.2,Month,Week,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid,euro per kWh.1,euro per m3,nat,euro per kWh.2,"Coal, Australian | ($/mt)",euro per kWh,Beroepsbevolking|Seizoengecorrigeerd,Werkzame beroepsbevolking|Seizoengecorrigeerd,Werkloze beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI | %,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product
Aantal verkochte woningen|Aantal verkochte woningen,0.12144503716988339,0.12466949424297906,0.08486644796260734,0.14449065913208284,-0.46281113187034373,-0.35687823563167836,0.08420597743171566,-0.5005640730656759,-0.16169085983417922,-0.07768421754447936,-0.12231409837821351,-0.15071498700902056,-0.24093109606768037,-0.10328694235453624,-0.10059338235366229,0.27923003296730536,-0.3923092426348725,0.16858178288599876,0.4554938597619496,0.30401162552191746,0.22666619935569923,0.3504723194732696,0.6782999667199212,0.19902531551603406,1.0,0.06282469117571976,-0.14270156556376945,0.48582026871726997,0.9417753010704999,-0.3839490784858745,-0.41227725979790536,-0.3670253133391413,-0.4320131263211029,-0.06516925063361088,0.33435734400318917
Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,-0.0010962417999781095,-0.0024064266896198804,-0.01884227759142423,-0.01381413899749443,-0.08838011208833982,-0.07086924128425401,-0.025915469286123746,-0.08737242160091621,-0.15629711891553252,0.26703335344993345,0.20484144791409664,-0.11016261431744433,-0.10399758190178048,0.19173421440552166,0.17442829542432742,0.05837993571952358,0.1619780472500867,-0.17432047216320545,-0.02879180101365646,-0.055155338832924755,0.07667164781857048,-0.14430669591633485,-0.1761818350587568,-0.12828971602577577,0.06282469117571976,1.0,0.5715766458667986,0.03830186744354298,-0.21618009880138708,-0.16148894484649462,-0.12974136162144342,-0.11486588111263556,-0.13449059959724696,-0.17828308746211607,0.08808482731665478
Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,-0.03828252923097322,-0.028210070390625876,-0.012787942846959145,-0.06280900413023277,0.44364425065300184,0.4184030376744279,-0.06352121172550025,0.42468610955368236,0.05074443124972548,0.36116638100374027,0.33914728314954196,0.28233947742037047,0.27786622593731547,0.489930924802046,0.513089260763957,-0.41955589646389124,0.5107986414643299,-0.5821360175609792,-0.6537718523978201,-0.6668789476117264,0.24984293063957438,-0.6666680792553776,-0.20113001675037137,-0.492173199152154,-0.14270156556376945,0.5715766458667986,1.0,0.0534436109574884,-0.29610007396738536,0.034629752266626214,0.14312778059792977,0.31221136379030673,0.23495020725741955,-0.5505284786880064,-0.3532213781081803
Gemiddelde verkoopprijs,0.06095076180545694,0.06881858209999989,0.06979125230886735,0.07846694866428132,0.14654885970927267,0.15049488502501412,0.024535720478901357,0.12640124619712917,-0.3942948915569297,0.15030626362738722,0.11936484898630259,-0.19975647500104257,-0.431152117075306,0.10186389000367449,0.09479785927547854,0.42429008095522047,-0.4722008814812138,0.0019159451545476408,0.09077182962659795,0.20948982230323773,-0.3333514936298915,0.3993628939116916,0.39066490721769553,0.21856752191990744,0.48582026871726997,0.03830186744354298,0.0534436109574884,1.0,0.4024333478587926,0.5023547421549363,0.49268261408714353,0.21522852593739242,0.25079650124022873,0.27485217250212834,-0.09648961959174095
Totale waarde verkoopprijzen,0.08322587314257406,0.12426677024869022,0.09183493899691454,0.13104270772290605,-0.42688893809460293,-0.3335820923538675,0.07884088011806235,-0.45744560422315445,-0.030405889991122266,-0.29615091478346617,-0.3118556298557935,0.005053268051112759,-0.1470916778323041,-0.24966945101902707,-0.19417197258998153,0.21955069317181966,-0.3462985753310518,0.2980380386998569,0.4488349551351112,0.28444665700956495,0.2615148305315968,0.408333988644455,0.7952622152596165,0.22940973619844887,0.9417753010704999,-0.21618009880138708,-0.29610007396738536,0.4024333478587926,1.0,-0.35789372227837785,-0.4102552319091332,-0.4147976385451655,-0.4663341925972943,-0.02878900920763005,0.26792550100273393
CPI | 2015 = 100,-0.04605521011675704,-0.058006703755134406,-0.024818001513653976,-0.08364615188049622,0.5070078102334615,0.39772459135317917,-0.04273010855917329,0.5448568199606694,-0.16396423142064642,0.05877201161727107,0.08254569567638256,-0.10137813839039936,-0.17993140656523102,0.040910588087086135,0.09532051882711955,0.17748846803874455,-0.26090976085507,0.0024724576339491457,-0.18369644056734993,0.016693991686723374,-0.44122161823155565,0.19071994944588755,-0.15778900322495926,-0.10455434013940826,-0.3839490784858745,-0.16148894484649462,0.034629752266626214,0.5023547421549363,-0.35789372227837785,1.0,0.9820986163547449,0.4781757190655726,0.6144286806012422,0.5576653152507228,-0.39034281233654206
CPI afgeleid | 2015 = 100,-0.020544912977936293,-0.05159594172645319,-0.014452507113133452,-0.0748541464390556,0.6040398788924942,0.5045109485833745,-0.04338762459645379,0.6267266496201378,-0.2323415797034013,0.21636628561188356,0.23567196878476127,-0.09904957758647236,-0.18276178422350411,0.22130732521860058,0.2351583434936532,0.1330070545256936,-0.17955850398004122,-0.18543448287231104,-0.31763104724309105,-0.10060731546136652,-0.43890594311363773,0.03510083326170889,-0.2261037400802927,-0.2121798870546836,-0.41227725979790536,-0.12974136162144342,0.14312778059792977,0.49268261408714353,-0.4102552319091332,0.9820986163547449,1.0,0.612819900858586,0.7230658556669546,0.4249095876730474,-0.46051514086202877
Jaarmutatie CPI | %,0.09609978155881416,-0.009467569356807632,0.027813207462403084,0.02649139144485056,0.6665172664179988,0.6569733008409808,-0.007974828782935558,0.6138906833347435,-0.2404124552004415,0.6844091834266371,0.684818333289537,-0.1816063049397582,0.020796683519404148,0.7038241158993002,0.6388341433963303,-0.20685684756099082,0.19301162107440153,-0.7411321632608403,-0.5762397631286152,-0.4250671475967117,-0.18915912135897264,-0.5403216589684373,-0.3739680445525886,-0.45533844793660755,-0.3670253133391413,-0.11486588111263556,0.31221136379030673,0.21522852593739242,-0.4147976385451655,0.4781757190655726,0.612819900858586,1.0,0.9730342857595544,-0.18363386420460645,-0.3346977611720093
Jaarmutatie CPI afgeleid | %,0.05519112625333208,-0.027747431531630274,0.012291952586583875,-0.006652065217296726,0.68502976877438,0.6428395830887236,-0.017004980052067794,0.6522970072381263,-0.17421550149306692,0.5751737009076309,0.5795719103807178,-0.17510455415505263,0.043255808452203774,0.5737860137072089,0.5310198352796471,-0.19615522846723846,0.14084109034972367,-0.610815130786556,-0.543413523836372,-0.379011147873113,-0.2333592394314984,-0.42874004332289256,-0.3616549614735238,-0.4386379339877595,-0.4320131263211029,-0.13449059959724696,0.23495020725741955,0.25079650124022873,-0.4663341925972943,0.6144286806012422,0.7230658556669546,0.9730342857595544,1.0,0.010145228076268133,-0.376282110107693
Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,-0.06248754837550945,-0.09757519227229722,-0.10395291565911245,-0.08530777240862693,-0.17981685668651023,-0.274318943694097,-0.0031677117696088616,-0.10425474661413368,0.10952494654038761,-0.3572392949879797,-0.3513165488414049,-0.4128966638919197,-0.13349815633348608,-0.6011951366901422,-0.48895826711494733,0.29777677450683465,-0.6646496710816615,0.6621668669295533,0.5344497585823047,0.5934887155814543,-0.3240101957114798,0.7119827181887597,0.0667169489869772,0.4098512438109342,-0.06516925063361088,-0.17828308746211607,-0.5505284786880064,0.27485217250212834,-0.02878900920763005,0.5576653152507228,0.4249095876730474,-0.18363386420460645,0.010145228076268133,1.0,0.2351658802889197
